Category,Question,Options,Hint
Science,What is the chemical symbol for water?,"H2O,O2,NaCl,CO2",It's the same as the title of a famous book by David Foster Wallace
Science,What planet is known as the Red Planet?,"Mars,Jupiter,Earth,Venus",It's named after the Roman god of war
Science,What gas do plants absorb from the atmosphere?,"Carbon Dioxide,Nitrogen,Oxygen,Hydrogen",It's what humans exhale
Science,What is the largest organ in the human body?,"Skin,Heart,Liver,Lungs",It's the body's first line of defense
Science,What is the powerhouse of the cell?,"Mitochondria,Nucleus,Ribosome,Endoplasmic Reticulum",It's where cellu lar respiration occurs
Science,What is the hardest natural substance on Earth?,"Diamond,Gold,Platinum,Silver",It's made of carbon
Science,What is the chemical symbol for gold?,"Au,Ag,Fe,Pb",It's derived from the Latin word for gold
Science,What is the largest mammal in the world?,"Blue Whale,Elephant,Giraffe,Hippopotamus",It's also the largest animal on Earth
Science,What is the smallest bone in the human body?,"Stapes,Patella,Femur,Humerus",It's located in the ear
Science,What is the rarest blood type?,"O,A,B,AB",It's also known as the universal donor
History,Who was the first president of the USA?,"George Washington,Abraham Lincoln,Thomas Jefferson,John Adams",He's on the $1 bill
History,In which year did World War II end?,"1945,1918,1939,1965",It ended with the unconditional surrender of the Axis powers
History,Which ancient civilisation built the pyramids?,"Egyptians,Romans,Greeks,Mayans",They were built as tombs for pharaohs
History,Who won the Battle of Hastings in 1066?,"William the Conqueror,Harold Godwinson,Edward the Confessor,Harald Hardrada",It led to the Norman conquest of England
History,Who discovered America?,"Leif Erikson,Christopher Columbus,Ferdinand Magellan,Vasco da Gama",He was an Italian explorer
History,When did the Western Roman Empire fall?,"476 AD,1453 AD,1066 AD,1918 AD",This is the year the empire split in two
History,When did the last claiment to the Roman Empire die?,"2011 AD,476 AD,1453 AD,1806 AD",He was from the House of Habsburg
History,Who was known as the "Iron Lady"?,"Margaret Thatcher,Angela Merkel,Indira Gandhi,Golda Meir",She was the Prime Minister of the United Kingdom
History,Who was the first emperor of Rome?,"Augustus,Julius Caesar,Nero,Caligula",He was the adopted son of Julius Caesar
History,What year did the Berlin Wall fall?,"1989,1991,1987,1993",It marked the end of the Cold War
History,How many wars did Napoleon Bonaparte start?,"0,2,6,4",Think about how his wars were started
Geography,What is the capital of Australia?,"Canberra,Sydney,Melbourne,Brisbane",It's located between Sydney and Melbourne
Geography,Which continent is the Sahara Desert located on?,"Africa,Asia,South America,Europe",It's the largest hot desert in the world
Geography,What is the largest ocean on Earth?,"Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean",It's also the deepest ocean
Geography,What is the smallest country in the world?,"Vatican City,Monaco,San Marino,Liechtenstein",It's the spiritual and administrative headquarters of the Roman Catholic Church
Geography,What is the longest river in the world?,"Nile River,Amazon River,Yangtze River,Mississippi River",It flows through Egypt
Geography,What is the tallest mountain in the world?,"Mauna Kea,Mount Everest,K2,Lhotse",It's located near the equator
Geography,What is the largest country in the world?,"Russia,Canada,China,USA",It spans 11 time zones
Geography,What is the capital of France?,"Paris,Berlin,London,Madrid",It's known as the city of love
Geography,What is the hottest continent on Earth?,"Africa,Antarctica,Asia,Australia",It's home to the Sahara Desert
Geography,What is the largest island in the world?,"Greenland,Madagascar,Australia,New Guinea",It's an autonomous territory of Denmark
Sports,How many players are there in a standard soccer team?,"11,12,9,10",It's the same as the number of players in cricket
Sports,Which country won the 2018 FIFA World Cup?,"France,Argentina,Brazil,Germany",It was their second World Cup win
Sports,What is the national sport of Japan?,"Sumo Wrestling,Baseball,Karate,Judo",It was introduced to Japan in the 19th century
Sports,Which country has won the most Olympic medals?,"USA,China,Russia,Germany",They have won over 2500 medals
Sports,What is the highest score possible in a game of ten-pin bowling?,"300,200,400,500",It's also known as a perfect game
Sports,Who is the highest paid athlete in the world?,"Cristiano Ronaldo,Lionel Messi,LeBron James,Roger Federer",He's a Portuguese footballer
Sports,How many Grand Slam titles has Serena Williams won?,"23,20,25,30",She's won 7 Wimbledon titles
Sports,When was the first modern Olympic Games held?,"1896,1900,1904,1908",It was held in Athens
Sports,What is the national sport of Canada?,"Lacrosse,Ice Hockey,Curling,Baseball",It's also the oldest sport in North America
Sports,How many players are there in a standard baseball team?,"9,8,10,11",It's the same as the number of players in cricket
Random,What is Karl Marx's great-great-grandson's Youtube channel called?,"Exclamation Marx,Hall Marx,Water Marx,Marx and Spencer",It's a play on his last name
Random,What was the name of the world tree in Norse mythology that connected all realms?,"Yggdrasil,Treebeard,The Giving Tree,The Whomping Willow",It's an ash tree
Random,What is the name of the first cloned sheep?,"Dolly,Fluffy,Spot,Whiskers",She was cloned in 1996
Random,Which invention was referred to as “the eye of the future” in the Netherlands?,"The microscope,The telescope,The compass,The clock",It allowed people to see things that were previously invisible
Random,What is different about the 4th Crusade?,"It was the only crusade to sack Constantinople,It was the only successful crusade,It was the only crusade to be led by a king,It was the only crusade to be led by a pope",It involved an attack on a Christian city
Random,What is the term for an animal that can switch between male and female during its lifetime?,"Hermaphrodite,Metamorphic,Binary,Reversible",It's named after a Greek god
Random,Which country has the most islands in the world?,"Indonesia,Sweden,Philippines,Japan",It has over 267 570 islands
Random,What is the name of the spaceship in the movie Alien?,"Nostromo,Serenity,Enterprise,Millennium Falcon",It's named after a Joseph Conrad novel
Random,What is the next number in this sequence: 2 2 4 6 10 16 __?,"26,24,28,46",It's the sum of the previous two numbers
Random,What is the longest English word that can be typed using only the left hand on a standard keyboard?,"Aftercataracts,Stewardesses,Desegregated,Telegraphed",It's a medical term
Computers,What is the name of the first computer mouse?,"The Trackball,The Pointer,The Clicker,The Mouser",It was invented by Douglas Engelbart
Computers,What is the name of the first computer?,"ENIAC,UNIVAC,EDVAC,CSIRAC",It was the Electronic Numerical Integrator and Computer
Computers,What is the name of the first computer programmer?,"Ada Lovelace,Grace Hopper,Alan Turing,Charles Babbage",She was the daughter of Lord Byron
Computers,What is the name of the first computer bug?,"Moth,Ant,Beetle,Fly",It was found in the Harvard Mark II computer
Computers,What is the name of the first computer virus?,"Creeper,Stoned,Brain,Elk Cloner",It shares its name with a creature from the world's most popular game
Computers,How many bits are in a byte?,"8,4,16,32",It's also the number of players in a standard baseball team
Computers,When was the first computer invented?,"1940,1950,1960,1970",It was developed during World War II
Computers,What is the name of the first computer game?,"Tennis for Two,Space War,Space Invaders,Pong",It involved two players hitting a ball back and forth
Computers,Who is the father of the computer?,"Charles Babbage,Alan Turing,John von Neumann,Ada Lovelace",He invented the first mechanical computer
Computers,How many bytes are in a kilobyte?,"1024,1000,2048,4096",It's also the number of bits in a kilobit
Computers,What is the name of the first computer network?,"ARPANET,NSFNET,CSNET,Internet",It was developed by the US Department of Defense
General,What is the chemical symbol for water?,"H2O,O2,NaCl,CO2",It has the same chemical formula as ice
